# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       3.854976319213e+04       4.928369436426e-07       1.168274091466e+01       3.344233819985e+03       1.417574381427e+04       3.677162950995e-01       5.464857428563e+08       6.715840411719e+00       6.077304441956e+06       1.419000978170e+05       7.604978288217e+01       3.541896786478e-08       7.605291076481e+05       0.000000000000e+00       4.204090145531e+06       1.118389984273e+07       8.667465207217e-02       1.124046572084e-01 
       3.828174612538e+04       4.996877990232e-07       1.176343364037e+01       3.298826579424e+03       1.417566312155e+04       3.702885648569e-01       5.426833124410e+08       6.762024346534e+00       5.910053404702e+06       1.389610234955e+05       7.447461861191e+01       3.541896786478e-08       7.447768170898e+05       0.000000000000e+00       4.088391081207e+06       1.088225680111e+07       8.674265316448e-02       1.124180294568e-01 
       3.801559215776e+04       5.066329541432e-07       1.184466835108e+01       3.254041737006e+03       1.417558188683e+04       3.728788163865e-01       5.389073151907e+08       6.808515672362e+00       5.747405070424e+06       1.360828215215e+05       7.293207820086e+01       3.541896786478e-08       7.293507785415e+05       0.000000000000e+00       3.975876023609e+06       1.058878762617e+07       8.681071595777e-02       1.124320292604e-01 
       3.775128833838e+04       5.136736943084e-07       1.192644853911e+01       3.209870716529e+03       1.417550010665e+04       3.754871752300e-01       5.351575673668e+08       6.855316330967e+00       5.589232777158e+06       1.332642311820e+05       7.142148598387e+01       3.541896786478e-08       7.142442350739e+05       0.000000000000e+00       3.866457351932e+06       1.030327001683e+07       8.687884089510e-02       1.124466592257e-01 
       3.748882180633e+04       5.208113220913e-07       1.200877771736e+01       3.166305060287e+03       1.417541777747e+04       3.781137678033e-01       5.314338865076e+08       6.902428275019e+00       5.435413348487e+06       1.305040178738e+05       6.994218028903e+01       3.541896786478e-08       6.994505696958e+05       0.000000000000e+00       3.760049856562e+06       1.002548773480e+07       8.694702842238e-02       1.124619219680e-01 
       3.722817979015e+04       5.280471575584e-07       1.209165941942e+01       3.123336427426e+03       1.417533489577e+04       3.807587214026e-01       5.277360914201e+08       6.949853468138e+00       5.285826997626e+06       1.278009725626e+05       6.849351314787e+01       3.541896786478e-08       6.849633024560e+05       0.000000000000e+00       3.656570672729e+06       9.755230438886e+06       8.701527898837e-02       1.124778201107e-01 
       3.696934960712e+04       5.353825385002e-07       1.217509719969e+01       3.080956592332e+03       1.417525145799e+04       3.834221642106e-01       5.240640021706e+08       6.997593884935e+00       5.140357234146e+06       1.251539112538e+05       6.707485001158e+01       3.541896786478e-08       6.707760876053e+05       0.000000000000e+00       3.555939215977e+06       9.492293523832e+06       8.708359304472e-02       1.124943562856e-01 
       3.671231866270e+04       5.428188206638e-07       1.225909463344e+01       3.039157443033e+03       1.417516746055e+04       3.861042253026e-01       5.204174400765e+08       7.045651511061e+00       4.998890773265e+06       1.225616744736e+05       6.568556947306e+01       3.541896786478e-08       6.568827108173e+05       0.000000000000e+00       3.458077119418e+06       9.236477963544e+06       8.715197104597e-02       1.125115331327e-01 
       3.645707444991e+04       5.503573779890e-07       1.234365531693e+01       2.997930979631e+03       1.417508289987e+04       3.888050346528e-01       5.167962276970e+08       7.094028343246e+00       4.861317447632e+06       1.200231267614e+05       6.432506299478e+01       3.541896786478e-08       6.432770864661e+05       0.000000000000e+00       3.362908172708e+06       8.987590158630e+06       8.722041344957e-02       1.125293533003e-01 
       3.620360454867e+04       5.579996028469e-07       1.242878286753e+01       2.957269312746e+03       1.417499777232e+04       3.915247231402e-01       5.132001888251e+08       7.142726389342e+00       4.727530121543e+06       1.175371561723e+05       6.299273464221e+01       3.541896786478e-08       6.299532549617e+05       0.000000000000e+00       3.270358262698e+06       8.745441788110e+06       8.728892071587e-02       1.125478194446e-01 
       3.595189662529e+04       5.657469062822e-07       1.251448092376e+01       2.917164661993e+03       1.417491207426e+04       3.942634225553e-01       5.096291484785e+08       7.191747668372e+00       4.597424607519e+06       1.151026737902e+05       6.168800082288e+01       3.541896786478e-08       6.169053801391e+05       0.000000000000e+00       3.180355315731e+06       8.509849665180e+06       8.735749330820e-02       1.125669342297e-01 
       3.570193843178e+04       5.736007182576e-07       1.260075314543e+01       2.877609354469e+03       1.417482580204e+04       3.970212656061e-01       5.060829328914e+08       7.241094210565e+00       4.470899585169e+06       1.127186132509e+05       6.041029003071e+01       3.541896786478e-08       6.041277467025e+05       0.000000000000e+00       3.092829241514e+06       8.280635596927e+06       8.742613169280e-02       1.125867003278e-01 
       3.545371780530e+04       5.815624879023e-07       1.268760321375e+01       2.838595823269e+03       1.417473895197e+04       3.997983859247e-01       5.025613695059e+08       7.290768057406e+00       4.347856522299e+06       1.103839302750e+05       5.915904259573e+01       3.541896786478e-08       5.916147577220e+05       0.000000000000e+00       3.007711878541e+06       8.057626247879e+06       8.749483633889e-02       1.126071204188e-01 
       3.520722266756e+04       5.896336837632e-07       1.277503483138e+01       2.800116606019e+03       1.417465152035e+04       4.025949180733e-01       4.990642869637e+08       7.340771261677e+00       4.228199598184e+06       1.080976022105e+05       5.793371043896e+01       3.541896786478e-08       5.793609321824e+05       0.000000000000e+00       2.924936941014e+06       7.840653007301e+06       8.756360771867e-02       1.126281971903e-01 
       3.496244102423e+04       5.978157940590e-07       1.286305172258e+01       2.762164343428e+03       1.417456350346e+04       4.054109975514e-01       4.955915150976e+08       7.391105887498e+00       4.111835628953e+06       1.058586275849e+05       5.673375683233e+01       3.541896786478e-08       5.673609025822e+05       0.000000000000e+00       2.844439967230e+06       7.629551860107e+06       8.763244630733e-02       1.126499333375e-01 
       3.471936096437e+04       6.061103269379e-07       1.295165763329e+01       2.724731777867e+03       1.417447489755e+04       4.082467608012e-01       4.921428849234e+08       7.441774010373e+00       3.998673995028e+06       1.036660256666e+05       5.555865616363e+01       3.541896786478e-08       5.556094125833e+05       0.000000000000e+00       2.766158269385e+06       7.424163261320e+06       8.770135258307e-02       1.126723315632e-01 
       3.447797065981e+04       6.145188107388e-07       1.304085633120e+01       2.687811751957e+03       1.417438569885e+04       4.111023452152e-01       4.887182286316e+08       7.492777717231e+00       3.888626570560e+06       1.015188360354e+05       5.440789370630e+01       3.541896786478e-08       5.441013147082e+05       0.000000000000e+00       2.690030884759e+06       7.224332013956e+06       8.777032702710e-02       1.126953945774e-01 
       3.423825836463e+04       6.230427942551e-07       1.313065160591e+01       2.651397207183e+03       1.417429590358e+04       4.139778891421e-01       4.853173795793e+08       7.544119106467e+00       3.781607654804e+06       9.941611816177e+04       5.328096539397e+01       3.541896786478e-08       5.328315680859e+05       0.000000000000e+00       2.615998528241e+06       7.029907150258e+06       8.783937012369e-02       1.127191250976e-01 
       3.400021241454e+04       6.316838470027e-07       1.322104726896e+01       2.615481182531e+03       1.417420550792e+04       4.168735318937e-01       4.819401722820e+08       7.595800287991e+00       3.677533905387e+06       9.735695099491e+04       5.217737759969e+01       3.541896786478e-08       5.217952362440e+05       0.000000000000e+00       2.544003546171e+06       6.840741816175e+06       8.790848236013e-02       1.127435258485e-01 
       3.376382122634e+04       6.404435594901e-07       1.331204715399e+01       2.580056813134e+03       1.417411450803e+04       4.197894137516e-01       4.785864424053e+08       7.647823383262e+00       3.576324273408e+06       9.534043255940e+04       5.109664691974e+01       3.541896786478e-08       5.109874849463e+05       0.000000000000e+00       2.473989871441e+06       6.656693159002e+06       8.797766422681e-02       1.127685995618e-01 
       3.352907329736e+04       6.493235434937e-07       1.340365511680e+01       2.545117328946e+03       1.417402290007e+04       4.227256759736e-01       4.752560267577e+08       7.700190525336e+00       3.477899940327e+06       9.336567956012e+04       5.003829996191e+01       3.541896786478e-08       5.004035800761e+05       0.000000000000e+00       2.405902979836e+06       6.477622218099e+06       8.804691621716e-02       1.127943489764e-01 
       3.329595720487e+04       6.583254323349e-07       1.349587503547e+01       2.510656053424e+03       1.417393068015e+04       4.256824608009e-01       4.719487632817e+08       7.752903858908e+00       3.382184256587e+06       9.143182699537e+04       4.900187313812e+01       3.541896786478e-08       4.900388855621e+05       0.000000000000e+00       2.339689847578e+06       6.303393818596e+06       8.811623882772e-02       1.128207768379e-01 
       3.306446160556e+04       6.674508811617e-07       1.358871081045e+01       2.476666402244e+03       1.417383784438e+04       4.286599114646e-01       4.686644910466e+08       7.805965540351e+00       3.289102681931e+06       8.953802777802e+04       4.798691246144e+01       3.541896786478e-08       4.798888613479e+05       0.000000000000e+00       2.275298910037e+06       6.133876468006e+06       8.818563255816e-02       1.128478858988e-01 
       3.283457523496e+04       6.767015672336e-07       1.368216636467e+01       2.443141882018e+03       1.417374438882e+04       4.316581721927e-01       4.654030502402e+08       7.859377737761e+00       3.198582727355e+06       8.768345236452e+04       4.699297334720e+01       3.541896786478e-08       4.699490614042e+05       0.000000000000e+00       2.212680021574e+06       5.968942255671e+06       8.825509791124e-02       1.128756789182e-01 
       3.260628690692e+04       6.860791902097e-07       1.377624564362e+01       2.410076089038e+03       1.417365030954e+04       4.346773882170e-01       4.621642821616e+08       7.913142630998e+00       3.110553898662e+06       8.586728839152e+04       4.601962041827e+01       3.541896786478e-08       4.602151317806e+05       0.000000000000e+00       2.151784416497e+06       5.808466754952e+06       8.832463539286e-02       1.129041586619e-01 
       3.237958551303e+04       6.955854724414e-07       1.387095261548e+01       2.377462708036e+03       1.417355560257e+04       4.377177057798e-01       4.589480292127e+08       7.967262411727e+00       3.024947641569e+06       8.408874032010e+04       4.506642731441e+01       3.541896786478e-08       4.506828086993e+05       0.000000000000e+00       2.092564671085e+06       5.652328928101e+06       8.839424551209e-02       1.129333279020e-01 
       3.215446002211e+04       7.052221592673e-07       1.396629127120e+01       2.345295510961e+03       1.417346026391e+04       4.407792721412e-01       4.557541348913e+08       8.021739283459e+00       2.941697288322e+06       8.234702908735e+04       4.413297650548e+01       3.541896786478e-08       4.413479166872e+05       0.000000000000e+00       2.034974666661e+06       5.500411033734e+06       8.846392878115e-02       1.129631894169e-01 
