# Matter power spectrum P(k) at redshift z=0
# for k=2.07862e-07 to 100.943 h/Mpc,
# number of wavenumbers equal to 1836
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.602251226912e-06       8.181838483771e+00 
       1.618372309103e-06       8.261289821932e+00 
       1.634655593879e-06       8.341512879258e+00 
       1.651102713245e-06       8.422514901490e+00 
       1.667715315625e-06       8.504303132555e+00 
       1.684495066030e-06       8.586885790618e+00 
       1.701443646224e-06       8.670270337450e+00 
       1.718562754890e-06       8.754464921673e+00 
       1.735854107804e-06       8.839476632552e+00 
       1.753319438005e-06       8.925314002225e+00 
       1.770960495969e-06       9.011984972665e+00 
       1.788779049785e-06       9.099497863567e+00 
       1.806776885329e-06       9.187860058445e+00 
       1.824955806449e-06       9.277080647670e+00 
       1.843317635142e-06       9.367167428086e+00 
       1.861864211734e-06       9.458129383552e+00 
       1.880597395071e-06       9.549974223921e+00 
       1.899519062700e-06       9.642711080720e+00 
       1.918631111060e-06       9.736348440056e+00 
       1.937935455669e-06       9.830895388789e+00 
       1.957434031321e-06       9.926359948546e+00 
       1.977128792275e-06       1.002275177133e+01 
       1.997021712453e-06       1.012008035065e+01 
       2.017114785638e-06       1.021835272856e+01 
       2.037410025674e-06       1.031758000313e+01 
       2.057909466666e-06       1.041777122468e+01 
       2.078615163186e-06       1.051893461155e+01 
       2.099529190479e-06       1.062108077024e+01 
       2.120653644667e-06       1.072421894824e+01 
       2.141990642967e-06       1.082835852840e+01 
       2.163542323894e-06       1.093350938467e+01 
       2.185310847482e-06       1.103968126627e+01 
       2.207298395498e-06       1.114688425406e+01 
       2.229507171659e-06       1.125512820610e+01 
       2.251939401859e-06       1.136442331602e+01 
       2.274597334383e-06       1.147477957979e+01 
       2.297483240141e-06       1.158620803510e+01 
       2.320599412888e-06       1.169871828169e+01 
       2.343948169462e-06       1.181232050173e+01 
       2.367531850009e-06       1.192702660575e+01 
       2.391352818220e-06       1.204284613494e+01 
       2.415413461572e-06       1.215979062756e+01 
       2.439716191559e-06       1.227787080369e+01 
       2.464263443941e-06       1.239709696000e+01 
       2.489057678985e-06       1.251748151232e+01 
       2.514101381712e-06       1.263903514826e+01 
       2.539397062146e-06       1.276176870602e+01 
       2.564947255565e-06       1.288569412660e+01 
       2.590754522758e-06       1.301082316538e+01 
       2.616821450276e-06       1.313716751588e+01 
       2.643150650697e-06       1.326473819271e+01 
       2.669744762886e-06       1.339354820673e+01 
       2.696606452256e-06       1.352360880913e+01 
       2.723738411042e-06       1.365493241103e+01 
       2.751143358564e-06       1.378753115141e+01 
