# Matter power spectrum P(k) at redshift z=0
# for k=2.08005e-07 to 100.006 h/Mpc,
# number of wavenumbers equal to 1835
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.775008817770e-07       3.047325109428e+00 
       5.833114182422e-07       3.076916765437e+00 
       5.891804175342e-07       3.106795773153e+00 
       5.951084678779e-07       3.136964868949e+00 
       6.010961634165e-07       3.167426978364e+00 
       6.071441042714e-07       3.198184939971e+00 
       6.132528966020e-07       3.229241519223e+00 
       6.194231526667e-07       3.260599654533e+00 
       6.256554908839e-07       3.292262399412e+00 
       6.319505358945e-07       3.324232520321e+00 
       6.383089186241e-07       3.356513134878e+00 
       6.447312763465e-07       3.389107240396e+00 
       6.512182527472e-07       3.422017826948e+00 
       6.577704979884e-07       3.455247998826e+00 
       6.643886687738e-07       3.488800858548e+00 
       6.710734284145e-07       3.522679539845e+00 
       6.778254468957e-07       3.556887208525e+00 
       6.846454009434e-07       3.591427055568e+00 
       6.915339740928e-07       3.626302307793e+00 
       6.984918567562e-07       3.661516224415e+00 
       7.055197462927e-07       3.697072091640e+00 
       7.126183470777e-07       3.732973230837e+00 
       7.197883705741e-07       3.769222995876e+00 
       7.270305354026e-07       3.805824771733e+00 
       7.343455674149e-07       3.842781964980e+00 
       7.417341997654e-07       3.880098048532e+00 
       7.491971729854e-07       3.917776498315e+00 
       7.567352350571e-07       3.955820831238e+00 
       7.643491414883e-07       3.994234638499e+00 
       7.720396553887e-07       4.033021434046e+00 
       7.798075475457e-07       4.072184766303e+00 
       7.876535965023e-07       4.111728619330e+00 
       7.955785886345e-07       4.151656364262e+00 
       8.035833182308e-07       4.191971575430e+00 
       8.116685875711e-07       4.232678707194e+00 
       8.198352070076e-07       4.273780959423e+00 
       8.280839950461e-07       4.315282166028e+00 
       8.364157784274e-07       4.357186554458e+00 
       8.448313922109e-07       4.399498044929e+00 
       8.533316798577e-07       4.442220228897e+00 
       8.619174933157e-07       4.485357274142e+00 
       8.705896931044e-07       4.528913210505e+00 
       8.793491484016e-07       4.572891859511e+00 
       8.881967371304e-07       4.617297813061e+00 
       8.971333460469e-07       4.662135261895e+00 
       9.061598708296e-07       4.707407834132e+00 
       9.152772161687e-07       4.753119753432e+00 
       9.244862958570e-07       4.799275952785e+00 
       9.337880328814e-07       4.845880244171e+00 
       9.431833595157e-07       4.892937089867e+00 
       9.526732174134e-07       4.940451057878e+00 
       9.622585577027e-07       4.988426040861e+00 
       9.719403410816e-07       5.036867127423e+00 
       9.817195379142e-07       5.085778608572e+00 
       9.915971283278e-07       5.135165173351e+00 
       1.001574102311e-06       5.185031080314e+00 
       1.011651459815e-06       5.235381446861e+00 
       1.021830210848e-06       5.286220521888e+00 
       1.032111375585e-06       5.337553696115e+00 
       1.042495984464e-06       5.389384742510e+00 
       1.052985078288e-06       5.441719413240e+00 
       1.063579708336e-06       5.494562603999e+00 
       1.074280936462e-06       5.547918305718e+00 
       1.085089835205e-06       5.601792774940e+00 
       1.096007487895e-06       5.656189742828e+00 
       1.107034988762e-06       5.711115261514e+00 
       1.118173443046e-06       5.766574169793e+00 
       1.129423967106e-06       5.822571603666e+00 
       1.140787688536e-06       5.879112821161e+00 
       1.152265746271e-06       5.936203382806e+00 
       1.163859290710e-06       5.993848042327e+00 
       1.175569483824e-06       6.052052471315e+00 
       1.187397499276e-06       6.110821802682e+00 
       1.199344522537e-06       6.170162499438e+00 
       1.211411751008e-06       6.230078997997e+00 
       1.223600394136e-06       6.290577450643e+00 
       1.235911673535e-06       6.351663374549e+00 
       1.248346823114e-06       6.413342436756e+00 
       1.260907089195e-06       6.475620150834e+00 
       1.273593730639e-06       6.538503126296e+00 
       1.286408018976e-06       6.601996595624e+00 
       1.299351238526e-06       6.666106447731e+00 
       1.312424686535e-06       6.730839017135e+00 
       1.325629673297e-06       6.796199796559e+00 
       1.338967522292e-06       6.862195610527e+00 
       1.352439570318e-06       6.928832298293e+00 
       1.366047167619e-06       6.996116465351e+00 
       1.379791678028e-06       7.064053206435e+00 
       1.393674479098e-06       7.132650077369e+00 
       1.407696962244e-06       7.201913052725e+00 
       1.421860532880e-06       7.271848628558e+00 
       1.436166610559e-06       7.342463327212e+00 
       1.450616629120e-06       7.413763743480e+00 
       1.465212036827e-06       7.485756962625e+00 
       1.479954296515e-06       7.558448859234e+00 
       1.494844885739e-06       7.631846208325e+00 
