# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       2.265784046791e+03       1.055459212643e-04       1.585647292535e+02       1.750353126362e+01       1.403338818024e+04       6.190880070865e+00       3.181066044939e+07       8.600967650754e+01       7.264733076061e+01       2.884789951589e+01       1.391618655194e+02       3.525794455262e-08       1.546134753304e+01       0.000000000000e+00       5.025516333217e+01       3.063736066964e+02       1.178814372605e-03       6.565685785331e-01 
       2.250010460418e+03       1.068548520292e-04       1.594712599466e+02       1.729695757202e+01       1.403248164954e+04       6.233858925267e+00       3.158726297874e+07       8.646891682486e+01       7.064625174493e+01       2.824985959328e+01       1.362769292612e+02       3.525794455262e-08       1.514082148999e+01       0.000000000000e+00       4.887087912350e+01       2.991847412482e+02       1.184236975077e-03       6.579279901326e-01 
       2.234346590141e+03       1.081794150702e-04       1.603822336341e+02       1.709292120737e+01       1.403157067585e+04       6.277134265326e+00       3.136542366460e+07       8.693003632665e+01       6.870028707528e+01       2.766421582196e+01       1.334517918643e+02       3.525794455262e-08       1.482693929992e+01       0.000000000000e+00       4.752472130480e+01       2.921679554015e+02       1.189695818189e-03       6.592843015007e-01 
       2.218791673192e+03       1.095197892870e-04       1.612976667506e+02       1.689138974251e+01       1.403065524274e+04       6.320708115173e+00       3.114513167726e+07       8.739303799266e+01       6.680791893708e+01       2.709071129234e+01       1.306852140002e+02       3.525794455262e-08       1.451956326932e+01       0.000000000000e+00       4.621563989913e+01       2.853190474333e+02       1.195191146971e-03       6.606374889830e-01 
       2.203344952101e+03       1.108761555412e-04       1.622175757664e+02       1.669233117891e+01       1.402973533372e+04       6.364582512528e+00       3.092637626221e+07       8.785792477267e+01       6.496767131080e+01       2.652909441847e+01       1.279759820219e+02       3.525794455262e-08       1.421855855796e+01       0.000000000000e+00       4.494261384212e+01       2.786339201865e+02       1.200723208068e-03       6.619875291964e-01 
       2.188005674664e+03       1.122486966766e-04       1.631419771875e+02       1.649571394094e+01       1.402881093230e+04       6.408759508793e+00       3.070914673959e+07       8.832469958632e+01       6.317810882131e+01       2.597911882775e+01       1.253229074314e+02       3.525794455262e-08       1.392379311973e+01       0.000000000000e+00       4.370465018591e+01       2.721085784214e+02       1.206292249753e-03       6.633343990302e-01 
       2.172773093901e+03       1.136375975406e-04       1.640708875565e+02       1.630150687009e+01       1.402788202193e+04       6.453241169140e+00       3.049343250370e+07       8.879336532287e+01       6.143783561870e+01       2.544054325293e+01       1.227248263589e+02       3.525794455262e-08       1.363513764481e+01       0.000000000000e+00       4.250078332495e+01       2.657391262355e+02       1.211898521930e-03       6.646780756469e-01 
       2.157646468028e+03       1.150430450052e-04       1.650043234516e+02       1.610967921933e+01       1.402694858604e+04       6.498029572602e+00       3.027922302246e+07       8.926392484105e+01       5.974549429007e+01       2.491313142629e+01       1.201805990521e+02       3.525794455262e-08       1.335246550294e+01       0.000000000000e+00       4.133007424323e+01       2.595217645498e+02       1.217542276154e-03       6.660185364830e-01 
       2.142625060411e+03       1.164652279886e-04       1.659423014877e+02       1.592020064759e+01       1.402601060800e+04       6.543126812162e+00       3.006650783691e+07       8.973638096887e+01       5.809976480121e+01       2.439665197610e+01       1.176891093770e+02       3.525794455262e-08       1.307565268789e+01       0.000000000000e+00       4.019160978215e+01       2.534527886596e+02       1.223223765637e-03       6.673557592498e-01 
       2.127708139540e+03       1.179043374770e-04       1.668848383159e+02       1.573304121420e+01       1.402506807117e+04       6.588534994847e+00       2.985527656070e+07       9.021073650338e+01       5.649936346741e+01       2.389087832514e+01       1.152492643283e+02       3.525794455262e-08       1.280457776314e+01       0.000000000000e+00       3.908450192856e+01       2.475285858479e+02       1.228943245259e-03       6.686897219342e-01 
       2.112894978983e+03       1.193605665462e-04       1.678319506239e+02       1.554817137353e+01       1.402412095887e+04       6.634256241817e+00       2.964551887960e+07       9.068699421058e+01       5.494304195263e+01       2.339558859141e+01       1.128599935504e+02       3.525794455262e-08       1.253912180859e+01       0.000000000000e+00       3.800788712243e+01       2.417456330607e+02       1.234700971581e-03       6.700204027995e-01 
